id,username,created_at,lng,lat,text
1517031914686799873,DJHansKim,Thu Apr 21 06:46:08 +0000 2022,-97.754724,30.323345500000002,@joerogan performing at @DickiesArena! https://t.co/m35RqtGn2K
1517031916620328960,gary_CALguy,Thu Apr 21 06:46:08 +0000 2022,-118.4119065,34.0207895,@dddanielley ❤🌹❣😊. Gary
1517031923071262720,cherrylatrece,Thu Apr 21 06:46:10 +0000 2022,-95.44648649999999,29.838495,Win a Trip for 2 to the 2022 Essence Festival of Culture! https://t.co/kVbzC6EYIt
1517031923230461952,ARTICANNABELLUM,Thu Apr 21 06:46:10 +0000 2022,-123.1224015,44.065621,I WAS 5 YEARS OLD THIS WAS MY FIRST NUCLEAR DISASTER. PEOPLE WERE DISSOLVING AND MY FINGERNAILS SPONTANEOUSLY COMBU… https://t.co/5Guzzgpglm
1517031926846017536,Not_A_PTA_Mom,Thu Apr 21 06:46:11 +0000 2022,-115.223125,36.232915,@hangukingan You put a player in the spot he unleashes from every. freaking. time. I think we got better at it but… https://t.co/m1hmIJEnPR
1517031929501011968,MelissaDeGenova,Thu Apr 21 06:46:11 +0000 2022,-123.123581,49.257639,"Yea, this was the mindset that took parking and access away from the BC Cancer Centre in Vancouver...punishing peop… https://t.co/zOZWWgrYXk"
1517031931677790209,Trenefew,Thu Apr 21 06:46:12 +0000 2022,-118.4119065,34.0207895,being a person of integrity is vital for me.
1517031943292039168,KevinFrick12,Thu Apr 21 06:46:15 +0000 2022,-89.908815,44.3185025,@espn @wojespn Aching pinky finger?
1517031950032191489,THISNOTJEFFERY,Thu Apr 21 06:46:16 +0000 2022,-73.9685415,40.780709,FREE @TADOUBLEDOLLA !!!!!!
1517031954088046592,guslon73,Thu Apr 21 06:46:17 +0000 2022,-119.7824645,36.786041999999995,@NykkiDawn Ok. Very cool though!
1517031956994838528,itslinklauren,Thu Apr 21 06:46:18 +0000 2022,-73.9685415,40.780709,@sour_swiftie @chartdata @taylorswift13 It’s never too late 🙏
